Rank,Team,TravelKM
1,Golden State Warriors,29087.35551719595
2,Boston Celtics,27813.10061022662
3,New York Knicks,27140.865448251676
4,Phoenix Suns,25622.396182825094
5,Philadelphia 76ers,23436.763082743808
6,Los Angeles Lakers,23037.393734896912
7,Brooklyn Nets,22305.079189502034
8,Cleveland Cavaliers,22133.60945806872
9,Dallas Mavericks,21451.652640739947
10,Miami Heat,19078.99004907315
11,Toronto Raptors,18795.42444796453
12,Houston Rockets,16491.461753058386
13,Denver Nuggets,15796.45420061162
14,Milwaukee Bucks,14210.527345666787
15,Chicago Bulls,13605.36754313444
16,Atlanta Hawks,11508.61655812318
