Team,Date1,Date2,Date3,WindowIndex
Boston Celtics,2025-11-01,2025-11-03,2025-11-05,0
New York Knicks,2025-11-01,2025-11-03,2025-11-05,0
Cleveland Cavaliers,2025-11-03,2025-11-05,2025-11-07,1
Cleveland Cavaliers,2025-11-05,2025-11-07,2025-11-11,2
Golden State Warriors,2025-11-05,2025-11-07,2025-11-11,2
Los Angeles Lakers,2025-11-05,2025-11-07,2025-11-11,2
Los Angeles Lakers,2025-11-07,2025-11-11,2025-11-13,3
Milwaukee Bucks,2025-11-07,2025-11-11,2025-11-13,3
Toronto Raptors,2025-11-07,2025-11-11,2025-11-13,3
Boston Celtics,2025-11-11,2025-11-13,2025-11-15,4
Los Angeles Lakers,2025-11-11,2025-11-13,2025-11-15,4
Boston Celtics,2025-11-13,2025-11-15,2025-11-17,5
Cleveland Cavaliers,2025-11-13,2025-11-15,2025-11-17,5
Golden State Warriors,2025-11-21,2025-11-23,2025-11-27,9
Denver Nuggets,2025-11-23,2025-11-27,2025-11-28,10
Golden State Warriors,2025-11-23,2025-11-27,2025-11-28,10
